SYMPTOM,VAERS_ID,AGE_YRS,DIED,L_THREAT,OTHER_MEDS,CUR_ILL,HISTORY,PRIOR_VAX,ALLERGIES,HOSPITAL,F,M,JANSSEN,MODERNA,PFIZER,VAX_DOSE_SERIES_1,VAX_DOSE_SERIES_2,VAX_SITE_LA,VAX_SITE_RA,AGE_GROUP
Blood culture negative,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Peripheral coldness,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Acoustic stimulation tests,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Mass,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Exposure to SARS-CoV-2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
White blood cell count normal,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Troponin normal,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Oropharyngeal discomfort,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Extra dose administered,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Troponin,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Atelectasis,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Blood test abnormal,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Adverse reaction,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Product administered at inappropriate site,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Cardiac monitoring,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Injection site hypoaesthesia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Vaccination site swelling,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Respiratory failure,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Injection site inflammation,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Blood urea increased,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Scan with contrast,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Computerised tomogram abdomen,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Dysarthria,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Influenza virus test negative,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Blood culture,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Exposure via skin contact,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Anaemia,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Productive cough,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Feeling of body temperature change,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Oedema,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Pulmonary oedema,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Joint stiffness,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Anal incontinence,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Nasopharyngitis,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Heart rate decreased,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Petechiae,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Ultrasound Doppler,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Pharyngeal paraesthesia,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Photophobia,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Blood pressure fluctuation,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Magnetic resonance imaging brain,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Injection site nodule,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Pleural effusion,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Neurological symptom,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Memory impairment,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Magnetic resonance imaging normal,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Fibrin D dimer increased,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Blood glucose decreased,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Haemoglobin normal,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Product storage error,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Thrombosis,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Restlessness,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Sudden death,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Dry skin,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Appendicectomy,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Asthenopia,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Audiogram abnormal,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Blood urea normal,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Head injury,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Blood thyroid stimulating hormone,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Blood creatinine normal,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Joint swelling,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Oral herpes,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Investigation,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Haematocrit decreased,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
SARS-CoV-2 antibody test,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Blood lactic acid increased,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Urinary incontinence,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Body height,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Retching,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Cyanosis,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
International normalised ratio,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Computerised tomogram thorax,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Panic attack,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Facial pain,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Cognitive disorder,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Blindness,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Neuropathy peripheral,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
C-reactive protein increased,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Aggression,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Haematocrit normal,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Ear pruritus,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Eyelid function disorder,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Activated partial thromboplastin time normal,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Influenza B virus test,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Device connection issue,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Haemorrhage,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Thirst,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Sensitive skin,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Cheilitis,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Tongue pruritus,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Sensory loss,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Bursitis,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Blood sodium decreased,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Skin reaction,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Ear swelling,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Skin discolouration,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Sepsis,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Transfusion,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Platelet count normal,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Deafness unilateral,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Sneezing,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Blood sodium normal,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Eye movement disorder,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Pulse absent,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Ocular hyperaemia,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Adverse event,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Weight decreased,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Ultrasound scan,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Oral pruritus,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Blepharospasm,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Alopecia,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Eye haemorrhage,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Appendicitis,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Magnetic resonance imaging brain abnormal,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Hemiparesis,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Vaccination complication,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Blood potassium normal,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Facial paresis,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Transient ischaemic attack,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Lacrimation increased,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Pharyngeal hypoaesthesia,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Anger,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Blood bilirubin normal,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Feeling jittery,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Echocardiogram abnormal,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Skin tightness,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Glossodynia,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Fibrin D dimer,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Injection site paraesthesia,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Bronchospasm,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Thrombocytopenia,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Allergy to vaccine,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Throat clearing,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Asymptomatic COVID-19,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Blood chloride normal,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Red blood cell sedimentation rate normal,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Depressed level of consciousness,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Altered state of consciousness,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Product preparation error,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Lipids,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Cardiac failure,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Impaired driving ability,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Delirium,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Blood calcium decreased,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Cardiac disorder,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Lip pruritus,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Cardiac flutter,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Dermatitis allergic,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Arthritis,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Blood urine present,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Dry eye,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Body temperature abnormal,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Body temperature decreased,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Skin burning sensation,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Bilevel positive airway pressure,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Grip strength decreased,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Computerised tomogram thorax abnormal,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Irritability,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Haematochezia,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Stomatitis,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Tachypnoea,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Lung opacity,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Acute myeloid leukaemia,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Upper-airway cough syndrome,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Toothache,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Mastication disorder,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Lung infiltration,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Abnormal sensation in eye,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Swelling of eyelid,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Guillain-Barre syndrome,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Vaccination site rash,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Computerised tomogram abdomen abnormal,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Off label use,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Pericarditis,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Computerised tomogram head abnormal,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Bedridden,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Oxygen therapy,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Respiratory arrest,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Cardioversion,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Musculoskeletal discomfort,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Cardiac failure congestive,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Feeding disorder,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Rhabdomyolysis,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Blindness transient,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Electroencephalogram,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Respiratory viral panel,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Electrocardiogram ambulatory,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Communication disorder,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Illness,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ventricular extrasystoles,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Angiogram pulmonary normal,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Blood calcium normal,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Angiogram normal,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Lumbar puncture,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ataxia,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Magnetic resonance imaging abnormal,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Haematuria,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Hypopnoea,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Magnetic resonance imaging brain normal,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Chronic obstructive pulmonary disease,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Product administration error,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Blood lactic acid,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Activated partial thromboplastin time prolonged,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Protein total normal,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
White blood cell count,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Acute respiratory distress syndrome,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Diplopia,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Heart rate irregular,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Brain natriuretic peptide increased,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Sensory disturbance,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Liver function test,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Glomerular filtration rate,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Glomerular filtration rate decreased,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mean cell volume normal,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Streptococcus test negative,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Blood chloride increased,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flatulence,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Dermatitis,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Bronchitis,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Arthropathy,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Blood creatine phosphokinase,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flank pain,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Fear,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Pulmonary pain,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Aspiration,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Pollakiuria,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Vaccination site induration,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Stridor,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Streptococcus test,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Chromaturia,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Vaccination site reaction,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Skin swelling,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
X-ray normal,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Odynophagia,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Accidental overdose,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Accidental underdose,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Acne,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Acute left ventricular failure,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Disease recurrence,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Weight,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Hallucination,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Skin lesion,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Red blood cell count decreased,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Sluggishness,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Respiratory distress,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Oxygen saturation,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Injection site irritation,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Injection site lymphadenopathy,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Rales,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Injection site oedema,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gastrooesophageal reflux disease,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Antibody test,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Injection site vesicles,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Staring,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Aortic aneurysm rupture,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Computerised tomogram neck,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Ischaemic stroke,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Lip oedema,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Cardiovascular evaluation,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Catheterisation cardiac,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Scan with contrast abnormal,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Seizure like phenomena,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Basophil percentage,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Blood albumin decreased,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Tunnel vision,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Magnetic resonance imaging spinal abnormal,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Blood gases,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Lymphadenitis,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Syringe issue,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Liver function test increased,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Carbon dioxide normal,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Mental impairment,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Parosmia,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Blood creatine phosphokinase normal,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
C-reactive protein,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Pulmonary congestion,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Eye discharge,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Cardiac failure acute,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
C-reactive protein normal,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Lymphocyte percentage decreased,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Vaccination site discomfort,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
